title,url,view,channel_name,channel_subscriber,create_stamp
【ASMR】【咀嚼音 】UNICORN DESSERTS ユニコーンデザート MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING MARSHMALLOW SPOON,/watch?v=kiZanCj4G_c,3894,ASMR RION,7300,1か月前
【ASMR】咀嚼音 ギャラクシー*宇宙*galaxy desserts* MUKBANG 먹방 咀嚼音 食べる音 EATINGSOUNDS NOTALKING KOHAKUTO JELLYNOODLE,/watch?v=xLGEM-1xoas,56564,ASMR RION,7300,1か月前
【ASMR】【咀嚼音 】食べれる文房具 EDIBLE STATIONERY MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING CRAYON ERASER TAPE,/watch?v=cWSyw8qR2_4,58655,ASMR RION,7300,1か月前
【ASMR】【咀嚼音 】PINKDESSERTS ピンクのデザートMUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING MARSHMALLOW,/watch?v=t_XgqBXlPDk,3242,ASMR RION,7300,1か月前
【ASMR】【咀嚼音 】YELLOW DESSERTS 黄色の食べ物 MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING EDIBLE CUP MACARON,/watch?v=bceADpdJoSs,9574,ASMR RION,7300,1か月前
【ASMR】【咀嚼音 】グミッツェル gummy pretzel MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING,/watch?v=uF6XzEdvS2A,24755,ASMR RION,7300,1か月前
【ASMR】【咀嚼音 】虹色の琥珀糖*食べれる宝石*KOHAKUTO*JEWEL JELLY* 코하쿠토　먹방 食べる音 EATINGSOUNDS NOTALKING,/watch?v=WKSgnrobs0o,31063,ASMR RION,7300,1か月前
【ASMR】【咀嚼音 】RAINBOW DESSERTS 虹色のスイーツ LEGO BLOCK MARSHMALLOW MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING,/watch?v=wIAV_TOjGjE,4645,ASMR RION,7300,1か月前
【ASMR】【咀嚼音 】PINK DESSERTS ピンクのデザート 분홍색 MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING MACARON MERMAIDTALE,/watch?v=fTVmbypcFs4,4804,ASMR RION,7300,1か月前
【ASMR】【咀嚼音 】CHEESE BALL Yan'nyomu chicken チーズボール　ヤンニョムチキン 양념치킨 HONEYCOMB MUKBANG 먹방 食べる音EATINGSOUNDS,/watch?v=gEobXGaOkQg,4184,ASMR RION,7300,1か月前
【ASMR】【咀嚼音 】WATERMELON DESSERTS*スイカ*MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING EDIBLE CUP JELLY,/watch?v=YOMd2zcwCak,3273,ASMR RION,7300,1か月前
【ASMR】【咀嚼音 】SNOW WINTER DESSERTS MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING,/watch?v=9HbPycjUq-Y,7255,ASMR RION,7300,1か月前
【ASMR】【咀嚼音 】GALAXY DESSERTS 宇宙 MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING KOHAKUTO JELLYNOODLE SPRINKLE,/watch?v=6ohGnPgNOkY,9247,ASMR RION,7300,1か月前
【ASMR】【咀嚼音 】PASTEL RAINBOW DESSERTS*パステルカラーの食べ物　MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING,/watch?v=vtxr6o_L3uw,4260,ASMR RION,7300,2か月前
【ASMR】【咀嚼音 】EDIBLE TOY 食べれるオモチャ MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING LEGO BLOCK GUMMY RUBBER DUCK,/watch?v=6IFwsquChU0,3575,ASMR RION,7300,2か月前
【ASMR】【咀嚼音 】ORANGE YELLOW DESSERTS MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING,/watch?v=YO-gkqGgGvc,7796,ASMR RION,7300,2か月前
【ASMR】【咀嚼音 】琥珀糖*食べれる宝石*KOHAKUTO*JEWEL CANDY*코하쿠토/먹방 食べる音 EATINGSOUNDS NOTALKING JELLY BALL,/watch?v=NAP3Qr6o4Fs,232564,ASMR RION,7300,2か月前
【ASMR】【咀嚼音 】MERMAID DESSERTS*マーメイド* 마드리드  MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING PLANET GUMMI,/watch?v=kEWVOz0GqOs,10219,ASMR RION,7300,2か月前
【ASMR】【咀嚼音 】RAINBOW DESSERTS 外国のグミ MUKBANG 먹방 食べる音 EATINGSOUNDS NOTALKING　LEGO BLOCK GUMMY,/watch?v=5I7vX-RpDsQ,4720,ASMR RION,7300,2か月前
【ASMR】RAINBOW DESSERTS MUKBANG 먹방 咀嚼音 食べる音 EATINGSOUNDS NOTALKING MARSHMALLOW MACARON LEGO GUMMY,/watch?v=KCO79KjG2e8,2108,ASMR RION,7300,2か月前
【ASMR】WATERMELON DESSERTS MUKBANG 咀嚼音 食べる音 EATINGSOUNDS NOTALKING WATERMELON POPSICLE DANGO JELLY,/watch?v=r26K7OCI3Aw,2076,ASMR RION,7300,2か月前
【ASMR】FRUITS TANGHULU MUKBANG 咀嚼音 食べる音 EATINGSOUNDS NOTALKING PLANET GUMMI WATERMELON MARSHMALLOW,/watch?v=SgQBd9exWX8,2206,ASMR RION,7300,2か月前
【ASMR】ギャラクシーデザート*galaxy desserts*갤럭시/MUKBANG 먹방 咀嚼音 食べる音 EATINGSOUNDS NOTALKING/KOHAKUTO ROPECANDY,/watch?v=dRwT0vY026Y,50073,ASMR RION,7300,2か月前
