title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ASMR | Tomyam Fried Noodles | Eating Sounds | No Talking | 咀嚼音,/watch?v=bGgVAmWzvxM,77,SzeChien ASMR,18,5日前,92,84
ASMR | KFC Signature Box | No Talking | 咀嚼音,/watch?v=M3AOIRbv6DY,93,SzeChien ASMR,18,1週間前,92,101
ASMR | Sarawak Laksa | No Talking | 咀嚼音,/watch?v=_regvHgVWEw,76,SzeChien ASMR,18,2週間前,92,83
ASMR | Maggi Curry | No Talking | 咀嚼音,/watch?v=bigeQdWInQQ,124,SzeChien ASMR,18,3週間前,92,135
