title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ASMR EATING SOUNDS Crispy Gummy Candy | 咀嚼音 グミッツェル,/watch?v=Y1QUT1RFHg4,2745,EATING SOUNDS ASMR,15,9か月前,1516,181
ASMR EATING SOUNDS - KFC FRIED CHIKEN Crispy&Shisen | 咀嚼音 ケンタッキーフライドチキン,/watch?v=cfgU78rXbrA,287,EATING SOUNDS ASMR,15,9か月前,1516,19
