title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
思わず「ウワッ!!」となってしまうスライムたち。,/watch?v=fy6J8u9zlSU,87919,1D&amp;ゆーぽん,650000,,175641,50
無し,/watch?v=2OQPalqGef4,56633,1D&amp;ゆーぽん,650000,,175641,32
【断捨離】カビあり・強烈に臭すぎるスライムを処分します。,/watch?v=wK-WhDRAUFE,404294,1D&amp;ゆーぽん,650000,,175641,230
【VOLCAN&APHRODITE】夏服コーデ紹介！残り1点だった可愛すぎるものも！！,/watch?v=q8W9UM7KFLU,66062,1D&amp;ゆーぽん,650000,,175641,38
【学生必見】バレにくい学校メイクをしてみた！！このアイテムはもってて損なし！「スクールメイク」,/watch?v=J6EOSfDua2g,96165,1D&amp;ゆーぽん,650000,,175641,55
【100均】Can★DoとDAISOで買ってきたものを紹介します！！,/watch?v=m7Ggr-Z5Ee0,224244,1D&amp;ゆーぽん,650000,,175641,128
【1日密着】初のモデルデビュー！撮影の裏側を1日密着してみました！！「BLACK BUNNYS」,/watch?v=48zJuldxWgA,210217,1D&amp;ゆーぽん,650000,,175641,120
【WEGO】夏服全身コーデ紹介！！,/watch?v=ovqmY3NDWOo,122346,1D&amp;ゆーぽん,650000,,175641,70
カフェの店長さんになりました。『Pokémon Café Mix』,/watch?v=x1zqTDyjWEU,36067,1D&amp;ゆーぽん,650000,,175641,21
【モーニングルーティン】朝起きてからの女子高校生の朝とお昼に密着！！,/watch?v=_Do6XZPfDSA,358849,1D&amp;ゆーぽん,650000,,175641,204
休日のお昼ご飯はやっぱりUber Eatsであれを食べるよね？まったりすぎる休日のお昼の過ごし方。,/watch?v=jHq_02Lv2iE,42006,1D&amp;ゆーぽん,650000,,175641,24
メイクをするのよ〜！！,/watch?v=OwYPdCiwAuA,46315,1D&amp;ゆーぽん,650000,,175641,26
動画がボツ。,/watch?v=U495c--ondM,40580,1D&amp;ゆーぽん,650000,,175641,23
