title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
猫がtik tokやってみたよ！,/watch?v=HzIPXCKADek,277,【あおまみ】スコチンあお&amp;ラグドールもも,641,,6140,5
歌う猫！おもちゃのラッパに合わせてうたいだしちゃった♪,/watch?v=20ti6Yhz2wY,1088,【あおまみ】スコチンあお&amp;ラグドールもも,641,,6140,18
猫はしっぽの付け根をたたくと喜ぶのか？これ喜んでるよね？,/watch?v=0cmpGOnc_lE,1079,【あおまみ】スコチンあお&amp;ラグドールもも,641,,6140,18
マキタの掃除機CL107FDSHWの使い心地にねこも大満足！？掃除機に吸われるのが好きなネコ,/watch?v=x58eHj8aHjI,1667,【あおまみ】スコチンあお&amp;ラグドールもも,641,,6140,27
ラグドールももの大好きな遊び,/watch?v=jbtdHyXTkrM,597,【あおまみ】スコチンあお&amp;ラグドールもも,641,,6140,10
話題のハンドスピナーを猫に見せたら・・・意外な反応だった（笑）,/watch?v=nOhQmJvUgMI,533,【あおまみ】スコチンあお&amp;ラグドールもも,641,,6140,9
もんぷちの新商品　フルーツ味のピューレを試食してみた,/watch?v=sZGjo_djgmQ,355,【あおまみ】スコチンあお&amp;ラグドールもも,641,,6140,6
甘えん坊のラグドール猫  腹乗りねこ？！（笑）,/watch?v=pMloMPqhayQ,2063,【あおまみ】スコチンあお&amp;ラグドールもも,641,,6140,34
ラグドール猫　ガリガリサークルで半目で寝落ち中,/watch?v=H55PJgo6GRw,263,【あおまみ】スコチンあお&amp;ラグドールもも,641,,6140,4
Miniature cooking kuroneko  [ riceburger]食べられるミニチュア料理 ねこライスバーガーを作ってみた！,/watch?v=oj5LLhLQgo0,204,【あおまみ】スコチンあお&amp;ラグドールもも,641,,6140,3
ミニチュア 料理 本当に食べれる3D ラテアートミニに初挑戦!!  猫を作ってみたけど見えるかな？？？[3D Latte art],/watch?v=PQTj8XhVCRA,82,【あおまみ】スコチンあお&amp;ラグドールもも,641,,6140,1
しっぽを振る猫時計が仲間入り！藤井啓太郎さんの猫時計があまりにリアルで可愛すぎる,/watch?v=vXQQRIp04Mc,4852,【あおまみ】スコチンあお&amp;ラグドールもも,641,,6140,79
猫が影遊び!? 猫がじゃれてる後ろ姿が可愛すぎるんだけど♪♪♪ でも足短すぎでしょ（笑）,/watch?v=tEDonX3A0bg,173,【あおまみ】スコチンあお&amp;ラグドールもも,641,,6140,3
猫がニワトリのコスプレになって新年のご挨拶！ あおもものお正月はビックニュースも！？,/watch?v=hlTdUS0LasU,291,【あおまみ】スコチンあお&amp;ラグドールもも,641,,6140,5
にゃんこキッチン にゃんこ家電2を揃えてみました【カプセルトイ】,/watch?v=z4Ss_w1nIb8,346,【あおまみ】スコチンあお&amp;ラグドールもも,641,,6140,6
猫 サンタ帽をかぶってみるが・・・あおサンタ目がまわる！？（笑）,/watch?v=TOdaTYl9yjQ,224,【あおまみ】スコチンあお&amp;ラグドールもも,641,,6140,4
簡単お菓子の作り方 たった30分でできちゃうクリスマスカップケーキニャンコも我慢できない香りで思わず侵入！！【Christmas cupcake】,/watch?v=mzIXUNgwvRw,660,【あおまみ】スコチンあお&amp;ラグドールもも,641,,6140,11
簡単にできちゃうお菓子をおもちゃのオーブンで作ってみました クリスマスにもピッタリ♡ 【Easy-to-use confectionery in a toy oven I made it.】,/watch?v=Cz9pSUdVBLE,40,【あおまみ】スコチンあお&amp;ラグドールもも,641,,6140,1
うどんを手打ちで作ってみました 子供でも簡単にできる！コシのある麺でもっちもちおいしいレシピで作りました,/watch?v=ywW3jtawveE,2863,【あおまみ】スコチンあお&amp;ラグドールもも,641,,6140,47
猫にトイレのしつけをしてくれる猫 砂掛け指導も諦めモードに！？【Discipline of cat】s,/watch?v=_lYQQn-Qt_E,4498,【あおまみ】スコチンあお&amp;ラグドールもも,641,,6140,73
