title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
宅配便受け取りでコロナ感染を防ぐのにおすすめな荷物受け取り＆発送のできるPUDOステーション使い方！,/watch?v=G-m8Zd-Q23U,73,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,45
Chicago Opener Card Magic Trick Tutorial & ASMRtist Voice♪,/watch?v=hFcc34myZ2c,82,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,50
裏色変化系！シカゴオープナー・カードマジック！（アレンジ）,/watch?v=Zx18gDsL5Hk,79,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,48
上級者向けトランプマジック コレクター！,/watch?v=ujc3WrgvJuQ,121,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,74
Card Magic Collector Trick Tutorial & ASMRtist Voice♪,/watch?v=ZgmHdjrO5EU,103,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,63
ファンカード トランプマジック！カードマニピュレーション♪ステージマジック用品でおすすめ！,/watch?v=e1AyCDNz3Ao,180,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,110
Ambitious Card Magic Trick Tutorial & ASMRtist Voice♪,/watch?v=6SlNR3yWhy0,193,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,118
錯覚トリックとアンビシャスカードを融合させたカードマジック！,/watch?v=PlMX6xjmDQ8,154,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,94
Card Change Magic Trick Revealed & ASMRtist Voice♪,/watch?v=g6IdR-w_Vlc,147,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,90
超マニアックなカードチェンジマジックテクニック＆4枚のカード出しテクニック！,/watch?v=B-LfLuGK9-M,121,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,74
このサンドイッチカードマジックは、商品化してもおかしくありません！,/watch?v=8Zm9esMMq_I,170,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,104
カードマジック テクニックの基本、フォース マジックテクニックが練習要らずで出来る！,/watch?v=tah1QikFYzg,134,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,82
テレワークやライブ配信のLED照明器具として、スマホ用リングライトが人気！,/watch?v=_vF7f6Md2vo,103,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,63
False Cut Card Trick Tutorial  & ASMRtist Voice♪,/watch?v=Il2McO5MST0,126,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,77
実践向きのカードマジック テクニック・フォールスカット！立ってできる！,/watch?v=JOqfUqUJUtQ,103,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,63
テンヨーマジック おすすめグッズが、ビリーズマジックショップで手に入ります！,/watch?v=0jMaoZhM_mc,191,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,116
新時代のトライアンフ カードマジックを見逃すな！,/watch?v=GhVc3-HkDNI,243,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,148
クインテットボックス！コインの瞬間移動マジック！初心者にも上級者にもおすすめのザ・マジック3号！,/watch?v=3W4NpR8qK9A,207,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,126
新宿の手品コーナーがお勧めな理由は、カードマジックに使うトランプのサンプルがあることです！実際に触れます！（トランプレビュー）,/watch?v=xrcc_l22Amo,406,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,248
シールの瞬間移動カードマジック！,/watch?v=tIPa7t7lVbk,248,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,151
Card Magic Collector Trick Revealed & ASMRtist Voice♪,/watch?v=CHGofFkqXHk,222,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,135
上級者向けのトランプマジック コレクターのやり方！,/watch?v=X2uRe5K0lIE,164,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,100
子供や初心者におすすめの簡単トランプ マジックやり方！,/watch?v=_zQ2WGwpfkA,182,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,111
Teleportation Card Magic Trick Tutorial & ASMRtist Voice♪,/watch?v=uhG-uGzzoEI,190,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,116
もの凄く使えるカードマジック テクニック必見の瞬間移動カードマジック！,/watch?v=eAKJZbctjIA,146,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,89
Card Change Magic Techniques Tutorial & ASMRtist Voice♪,/watch?v=PpqKNd4rFYg,180,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,110
カードチェンジマジックテクニック満載の探偵カード！,/watch?v=GixwyGGYJAs,126,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,77
【レジ袋有料化対策】レジ袋代わりのゴミ袋には、これがおすすめ！ゴミ袋問題点はこれで解決！？,/watch?v=VY2ooNut61s,190,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,116
Card Change Magic Tutorial & ASMRtist Voice♪,/watch?v=tufT9qVg1AQ,203,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,124
スリーカードチェンジ ワイルドカードマジック！,/watch?v=r-o-QdR2H2k,148,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,164,90
