,Unnamed: 0,channel_url,channel_name
42,810,/channel/UC3X2wGqAo-zb84d1HAqV-ZA,NOW
43,811,/channel/UCbjBntVhOcA8iQVJsKrgLTA,あいちゃんねる
44,813,/channel/UCoLQZ4ZClFqVPCvvjuiUSRA,문복희 Eat with Boki
45,815,/channel/UCNjaujn_aPdSaPgH7D1Zwfg,RUKA Channel
46,817,/channel/UCNsfRL2Xg9UMhlg2aX2VVAA,Olives ASMR
47,823,/channel/UCQZqwa5cnLN8HNpZyr3Z6vQ,望月のあ / MochizukiNoa
48,826,/channel/UCZ-1ZVGHN6RB57QmWLmvakQ,ほのぼの
49,827,/channel/UC7bt9kG8U4OjhREJCTeidYA,Orgasm
50,829,/channel/UCX8fFzD1Kdi8uCSmbOce08w,ばかなんす! 《 日南 - canan - 》
51,837,/channel/UCPvGypSgfDkVe7JG2KygK7A,竜胆 尊 / Rindou Mikoto
52,839,/channel/UCkzMlDfzqoEy1MoIWpx9Usw,いも栗 / imoguri
53,844,/channel/UC34LwS_QwS9KiGESFdW1b0g,たすく
54,845,/channel/UCkYd-TAZrri_DrWX0QLUNsQ,ふかチャンネル
55,846,/channel/UCNEJ5q9O3v45ioAkXVz1DPA,八田エミリHatta Emily
56,851,/channel/UCc7v5yYC_mviB1_fLuB-GRw,MINEE EATS
57,853,/user/PPOMODOLI,ASMR PPOMO
58,854,/channel/UCQUdNis13Y2bXiV7fssSNCg,大食いらすかる
59,861,/channel/UCrTKEv4-NqsP9GiuMb_GySg,이다 Ida ASMR
60,867,/channel/UCH0ObmokE-zUOeihkKwWySA,ユメノシオリ ASMR火曜の女
61,868,/channel/UCOu2fDhopuQymeHUDpkAC9w,asmr加納 ろく
62,869,/channel/UCc1_zLnbPx60itlQ3TMZ6xA,ふゆさんぽ
63,871,/channel/UCb96auc4nWErNeRJGW0Ixqw,Eat Ice
64,872,/channel/UC4GMLPKC8TgfW1BtJ-0vf-Q,こばしり。
65,876,/channel/UC3LAEwEhZ0Yn3l4-WatZo2Q,えっちゃんねる/悦子
66,878,/channel/UCepkcGa3-DVdNHcHGwEkXTg,もえのあずき
67,879,/channel/UCwN4CR-bDM9ZjvPhb44AfxQ,パパラピーズ
68,880,/channel/UCTUYzaLYcTnKCsw1lHX2YzQ,Aruka Ch. あるか
69,882,/channel/UCJlVqaEBOWWcZa6TiY33x-Q,ASMR - Kanon Hoshizono -
70,884,/channel/UCAWsbzucg3KVJ6_HNjtqg7g,みやぢASMR
71,885,/channel/UC2xrDXTlTyxagWiMNWTk6nA,めいでん
72,889,/channel/UCImadINLG_ZR2mqI_WpRfrw,天ノ川リサ[勇者ズム!]
73,890,/channel/UCQZJYWAjKun5B5xVl0b2AqQ,葉山潤奈
74,891,/user/yuta8ass8,もなか君の父上
75,892,/channel/UCTeF7SkD8dc_ssIzhJQQocQ,まりめろチャンネル
76,894,/channel/UC9PGxFdFkAge6TK8oPJJmQQ,コグレピヨコ / PIYOKO CHANNEL
77,895,/channel/UChh5AZnmv75EkXIOkiCmfZQ,koushi ASMR♡仔牛です。
78,900,/channel/UCwSOARsvB-Qa6PtuYyK74dA,まこと。
79,904,/channel/UCdK3LnMrq1-4MZteb-v5i5g,えむれなチャンネル
80,906,/channel/UCazM_E7IvTxflM06VhrZW7Q,大ファン四千頭身の石橋くん
81,909,/channel/UCpABbVcUkAsQD7iIDa10L_Q,おかん
82,916,/channel/UCTW5lSI0XPGdRDuTn-XeLVQ,More Channel-まどろみもあ-
83,919,/channel/UC7wAhrTCpM6SQyoTdWYdpCQ,うーたんの部屋
84,922,/channel/UCiSRx1a2k-0tOg-fs6gAolQ,飛鳥ひな【にじさんじ所属】
85,925,/channel/UCVe-gDdF0FNj9e_dXrI7A-Q,エマチャンネル
86,929,/user/meteronn,ASMR 両性天使 めてろん
87,/channel/UCSPkmZyeHlDNE-6YMSg5Fbg,しなこ Shinako / ASMR,
88,/channel/UCIafb9ExBkh4WsCOagZssZA,설기양SULGI,
89,/channel/UCwsFLjczPWiiWBS9_cdSQIQ,교광TV,
91,/channel/UCqHfNpSfcHe6fYi061d1bUQ,ASMR MUKBANG ASMR,
92,/channel/UC2B5onlYkZ7IaVekR9yIB6w,GONGSAM TABLE 이공삼,
94,/channel/UCEpQ2tdbm29gEvz70rbYlIA,Ryoma ASMR,
95,/channel/UCRtoqRleHkDQRVgN9OwV6TA,SIO ASMR 시오,
98,/channel/UCvrPcj-vRAhxdYVyn05CijQ,MIYU ASMR,
99,/channel/UCB7Te5Pb6LOTFV7i0Rzp8dg,HunniBee ASMR,
101,/channel/UCnHSi0oe3V_iH_XuaFRYi_A,NATAPONなたぽん,
103,/channel/UCyai6rG3zUjQRwt9WQfkzuw,정운 Jeongwoon,
