title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ダイソー・マジックショップで、指が光る＆ルーバーズレンズ＆指輪マジックが売ってた！,/watch?v=IozbKvsTWBQ,208,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,102
Card Change Magic Trick Tutorial & ASMRtist Voice♪,/watch?v=mRI0ovrAKbw,155,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,76
驚きのカードチェンジマジック テクニック！,/watch?v=oNVU7shufU0,112,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,55
ガリガリ君を炭酸水で割ったら、シャーベットになって激うまだった！シャーベットジュースの作り方！,/watch?v=jgpF2SkxxEY,141,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,69
テンヨーマジックのダイナミックコインの評価は、瞬間移動コインマジックの中で最高峰です！,/watch?v=iR_koHJ_PK4,251,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,123
Easy Card Magic Tricks Revealed & ASMRtist Voice♪,/watch?v=HHqKhiknHKo,112,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,55
簡単だけどすごい初心者にもできるトランプマジック！,/watch?v=QsusUgOyUcs,102,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,50
プレゼント企画！当選者発表！,/watch?v=0VD9KWi6W20,154,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,75
Collectors Card Magic Trick Revealed & ASMRtist Voice♪,/watch?v=6pZav3WhY68,195,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,96
発想が天才的なコレクター カードマジック！,/watch?v=XsZodGS_3bA,109,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,53
Card Magic Technique Tutorial & ASMRtist Voice♪,/watch?v=L_bm5vFOAYM,181,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,89
これでもか、エレベーターカードマジックのアレンジ手順！テクニック満載！,/watch?v=MdEOVlXalxk,122,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,60
簡単かつありえない究極のトランプ予言マジック！すげー簡単なやり方で出来ます！,/watch?v=LFe5tr4e3hg,179,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,88
バズレシピ リュウジ氏が作っていた人気豆腐ステーキ（アレンジレシピ）,/watch?v=tcWaPdAQH8c,104,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,51
本格家庭用ビールサーバーが、ハンズスタッフおすすめで人気が凄く売れてるらしい！,/watch?v=MQVGgAQ7-IE,143,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,70
Card Magic Force Technique Tutorial & ASMRtist Voice♪,/watch?v=_uGpsuNvKU8,171,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,84
カードマジック フォーステクニックを使った、ハーパフォース！,/watch?v=O2jYL45Mrrs,139,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,68
万能調味料！トマト味噌ソース 手作りレシピ♪,/watch?v=-z6E1nXTavc,115,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,56
定番のアンビシャスカードに飽きたので、箱を使ってアンビシャスカードやってみた。,/watch?v=Modyqd5yScU,205,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,100
壁紙には100均ダイソーの粘着タックが便利！＆あれを大容量ペンケース（ペン入れ）に応用したら神ってた！,/watch?v=aM91G33UuWU,204,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,100
ドライカレー（キーマカレー）の人気殿堂入り、野菜ジュース カレー簡単レシピ♪,/watch?v=43GD-bFj3Wk,166,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,81
シルク＆ボールを使った消失＆変化マジック！,/watch?v=jgeK9I7Zm6U,162,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,16700,,204,79
