title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
宅配便受け取りでコロナ感染を防ぐのにおすすめな荷物受け取り＆発送のできるPUDOステーション使い方！,/watch?v=G-m8Zd-Q23U,39,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,3
Chicago Opener Card Magic Trick Tutorial & ASMRtist Voice♪,/watch?v=hFcc34myZ2c,29,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,2
裏色変化系！シカゴオープナー・カードマジック！（アレンジ）,/watch?v=Zx18gDsL5Hk,54,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,4
上級者向けトランプマジック コレクター！,/watch?v=ujc3WrgvJuQ,101,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,8
Card Magic Collector Trick Tutorial & ASMRtist Voice♪,/watch?v=ZgmHdjrO5EU,62,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,5
ファンカード トランプマジック！カードマニピュレーション♪ステージマジック用品でおすすめ！,/watch?v=e1AyCDNz3Ao,151,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,12
Ambitious Card Magic Trick Tutorial & ASMRtist Voice♪,/watch?v=6SlNR3yWhy0,142,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,11
錯覚トリックとアンビシャスカードを融合させたカードマジック！,/watch?v=PlMX6xjmDQ8,142,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,11
Card Change Magic Trick Revealed & ASMRtist Voice♪,/watch?v=g6IdR-w_Vlc,140,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,11
超マニアックなカードチェンジマジックテクニック＆4枚のカード出しテクニック！,/watch?v=B-LfLuGK9-M,121,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,10
このサンドイッチカードマジックは、商品化してもおかしくありません！,/watch?v=8Zm9esMMq_I,161,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,13
カードマジック テクニックの基本、フォース マジックテクニックが練習要らずで出来る！,/watch?v=tah1QikFYzg,134,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,11
テレワークやライブ配信のLED照明器具として、スマホ用リングライトが人気！,/watch?v=_vF7f6Md2vo,103,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,8
False Cut Card Trick Tutorial  & ASMRtist Voice♪,/watch?v=Il2McO5MST0,126,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,10
実践向きのカードマジック テクニック・フォールスカット！立ってできる！,/watch?v=JOqfUqUJUtQ,103,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,8
テンヨーマジック おすすめグッズが、ビリーズマジックショップで手に入ります！,/watch?v=0jMaoZhM_mc,191,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,15
新時代のトライアンフ カードマジックを見逃すな！,/watch?v=GhVc3-HkDNI,243,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,19
クインテットボックス！コインの瞬間移動マジック！初心者にも上級者にもおすすめのザ・マジック3号！,/watch?v=3W4NpR8qK9A,207,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,17
新宿の手品コーナーがお勧めな理由は、カードマジックに使うトランプのサンプルがあることです！実際に触れます！（トランプレビュー）,/watch?v=xrcc_l22Amo,369,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,30
シールの瞬間移動カードマジック！,/watch?v=tIPa7t7lVbk,248,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,20
Card Magic Collector Trick Revealed & ASMRtist Voice♪,/watch?v=CHGofFkqXHk,222,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,18
上級者向けのトランプマジック コレクターのやり方！,/watch?v=X2uRe5K0lIE,164,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,13
子供や初心者におすすめの簡単トランプ マジックやり方！,/watch?v=_zQ2WGwpfkA,182,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,15
Teleportation Card Magic Trick Tutorial & ASMRtist Voice♪,/watch?v=uhG-uGzzoEI,190,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,15
もの凄く使えるカードマジック テクニック必見の瞬間移動カードマジック！,/watch?v=eAKJZbctjIA,146,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,12
Card Change Magic Techniques Tutorial & ASMRtist Voice♪,/watch?v=PpqKNd4rFYg,180,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,14
カードチェンジマジックテクニック満載の探偵カード！,/watch?v=GixwyGGYJAs,126,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,10
【レジ袋有料化対策】レジ袋代わりのゴミ袋には、これがおすすめ！ゴミ袋問題点はこれで解決！？,/watch?v=VY2ooNut61s,185,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,15
Card Change Magic Tutorial & ASMRtist Voice♪,/watch?v=tufT9qVg1AQ,197,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,16
スリーカードチェンジ ワイルドカードマジック！,/watch?v=r-o-QdR2H2k,148,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,12
エッグ・バッグの質感が神＆Jr.TAICHIタイチ＆キッズHINATAヒナタを応援！ザ・マジック35号,/watch?v=s00m4WQKyuI,155,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,12
Card Control Technique Magic Tutorial & ASMRtist Voice♪,/watch?v=y9WwmEZVjwM,188,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,15
錯覚カードコントロールテクニック！この技法はおすすめ！,/watch?v=3-ypr6v05GA,141,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,11
ダイソーの人気おもちゃ3Dパズルが、 知育玩具としても使えて、完成度も高いんです！,/watch?v=A0vrelaE8d8,256,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,21
プレゼント企画当選者発表＆次回のプレ企画お知らせ。,/watch?v=kg3RPBkb2qo,119,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,10
Card Change Magic Trick Tutorial & ASMRtist Voice♪,/watch?v=fIHYOwMM3qY,182,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,15
この素晴らしいカードマジック テクニックとカード飛行マジック現象をお楽しみ下し♪技法解説あり！,/watch?v=oivcZJKbLsw,140,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,11
インスタントラーメンを3倍美味しくする人気のアレンジ方法！,/watch?v=QY7nYaj47zQ,183,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,15
Card Momentary Movement Magic Trick Revealed & ASMRtist Voice♪,/watch?v=VzapvOY67RI,167,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,13
発想が爆発した瞬間移動カードマジック！,/watch?v=ZkIsTQt0Uns,160,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,13
Card Magic Trick Technique Revealed & ASMRtist Voice♪,/watch?v=DpRPkTRsBQQ,180,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,14
練習しがいのあるカードマジック テクニック（技法）！,/watch?v=Ac5iMLSH3n4,110,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,9
韓国の屋台の食べ物・チーズ豚肉キムチ巻きのアレンジグルメ料理！,/watch?v=0NADVeR1UuM,131,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,10
Pair Card Magic Trick Revealed & ASMRtist Voice♪,/watch?v=7OYn3l3_f2M,168,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,13
おすすめの簡単トランプマジックやり方！簡単に不思議な手品したい人は必見！,/watch?v=iV7PcoCz5Tg,142,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,11
ある意味魔法の豚骨インスタントラーメン アレンジレシピ♪,/watch?v=XnO38SkImC0,164,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,13
Down Under Card Trick Magic Revealed & ASMRtist Voice♪,/watch?v=aIq6_SLayqQ,204,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,16
セルフワーキング カードマジック！古典トリックの名作を駆使した「ダウンアンダー」！,/watch?v=Tzf87wXaR_M,185,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,15
Card Change Magic Trick Tutorial & ASMRtist Voice♪,/watch?v=U4MFSbT9Vys,234,手品王子のマジック&amp;ASMR Voice&amp;ガジェット&amp;100均おすすめ商品!,1670000,,1248,19
