title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ASMR Eat Ice| Spiral shape Shavedice & Hardice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=TLCBjUKtZgU,19409,Eat Ic,1680000,,39466,49
ASMR Eat Ice| Pizza Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=UssXaU0IbmE,32804,Eat Ic,1680000,,39466,83
ASMR Eat Ice| Crispy Shavedice Cube | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=meCClppnKzk,34646,Eat Ic,1680000,,39466,88
ASMR Eat Ice| Snow Pastry Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=cJchM1JiLgM,85972,Eat Ic,1680000,,39466,218
ASMR Eat Ice| Big Snowman Shape Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=Sydny06NHts,30909,Eat Ic,1680000,,39466,78
ASMR Eat Ice| Big Cloud Shape Shavedice ☁  | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=OQkyufLpB-o,23972,Eat Ic,1680000,,39466,61
ASMR Eat Ice| Mushroom Shape Shavedice Tutorial | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek,/watch?v=bVFfld7a2iU,26449,Eat Ic,1680000,,39466,67
ASMR Eat Ice| Twitter Shavedice Icon | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=A2hUhhNcCng,16966,Eat Ic,1680000,,39466,43
ASMR Eat Ice| 10K Subscribers 🎉🎉🎉 BIG Shavedice Cake Tutorial | 氷を食べる音 Thánh Ăn Đá  얼음  Satisfying,/watch?v=ep_IbM_CyyI,89344,Eat Ic,1680000,,39466,226
ASMR Eat Ice|  Fries Ice & Shavedice Tutorial  | 氷を食べる音  Thánh Ăn Đá  얼음소리  Buz Yemek Satisfying,/watch?v=UCFXbX8MBtA,38621,Eat Ic,1680000,,39466,98
ASMR Eat Ice| Crunchy Comb Shape Hardice ! Did you guess right ?| 氷を食べる音 Thánh Ăn Đá  얼음 리얼사운,/watch?v=Cwi70lVUKXc,32851,Eat Ic,1680000,,39466,83
ASMR Eat Ice| Banana Shape Shavedice  | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=FZcVUae-lyc,41213,Eat Ic,1680000,,39466,104
ASMR Eat Ice| Shavedice&Powderyice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=gGywCYQeQu4,16664,Eat Ic,1680000,,39466,42
ASMR Eat Ice| Hollow ice Square Shape Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=UkhkAPmnmaE,16194,Eat Ic,1680000,,39466,41
ASMR Eat Ice| Egg box Shape Shavedice🍧 | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=R5ULhi1uLKk,17670,Eat Ic,1680000,,39466,45
ASMR Eat Ice| Cotton ice Supercooled water3 | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=ku081ow4Fhk,38663,Eat Ic,1680000,,39466,98
ASMR Eat Ice| Bigger Plate with Raised-circle Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운  Satisfying,/watch?v=X5vMEEYENXI,28199,Eat Ic,1680000,,39466,71
ASMR Eat Ice| Square Shape Shavedice & Sticks Hardice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek,/watch?v=HjxdfFh_SIs,23791,Eat Ic,1680000,,39466,60
ASMR Eat Ice| Six-petals Flowers Shape Shavedice💮 | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek,/watch?v=WDE-cy75puc,20254,Eat Ic,1680000,,39466,51
Eat Ice asmr | BIG BITES & Bigger Square Shape Shavedice  | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek,/watch?v=0zHgRqf6k7w,46894,Eat Ic,1680000,,39466,119
ASMR Eat Ice| BIG BITES Bigger Pentagram shape Shavedice ✴| 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek,/watch?v=zOTH3unTm-8,31025,Eat Ic,1680000,,39466,79
ASMR Eat Ice| Pyramid Shape Hollow Shavedice & Carbonated | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek,/watch?v=4H6ML5vefc0,47712,Eat Ic,1680000,,39466,121
ASMR Eat Ice| Handheld Mirrors Shape Hardice & Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek,/watch?v=S5Hq1kq4L2A,48655,Eat Ic,1680000,,39466,123
ASMR Eat Ice| Ice Round Cakes Shape Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=kpYEsgKyU0M,83457,Eat Ic,1680000,,39466,211
ASMR Eat Ice| Ice Cube & Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=TiYNa0IJrgk,17482,Eat Ic,1680000,,39466,44
ASMR Eat Ice| Bead plate Shape Hardice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=qeOywzjsHO4,40673,Eat Ic,1680000,,39466,103
ASMR Eat Ice| Big Figure Coconut Crab Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=spcrD1P-bzA,70321,Eat Ic,1680000,,39466,178
ASMR Eat Ice| Special Shape Hollow Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=Ztx4kEVzbME,23587,Eat Ic,1680000,,39466,60
ASMR Eat Ice| ICE CUBES  Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=4BSDX_FoK3c,31171,Eat Ic,1680000,,39466,79
ASMR Eat Ice| Bigger Heart shape Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=lU2gTb5obmk,33787,Eat Ic,1680000,,39466,86
ASMR Eat Ice| Slush Snowball | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=wz4UUDn_pyY,33026,Eat Ic,1680000,,39466,84
