title,url,view,channel_name,channel_subscriber,create_stamp
【咀嚼音/ASMR】ケンタッキー 数量限定 ディップソース3種をつけて食べる音【字幕付】Eat sounds of KFC with limited edition 3 types sauce,/watch?v=SRpg6Kfc-SE,5516,んふふちゃんねる,1610000,1週間前
【咀嚼音/ASMR】超超ロングチーズティックを食べる音【字幕付】Eat sounds of deep fried long long cheese stick,/watch?v=bO7aREIFxSs,5151,んふふちゃんねる,1610000,1週間前
【咀嚼音/ASMR】超簡単‼︎くるくるソーセージ揚げパンを食べる音【字幕付】Eat sounds of fried round sausage bread,/watch?v=WIfl7JcNCrM,4663,んふふちゃんねる,1610000,1週間前
1年間『揚げ物』を食べる女が健康診断結果をやってみた結果・・・。,/watch?v=h9sfKCChbyo,3781,んふふちゃんねる,1610000,1週間前
【咀嚼音/ASMR】激辛プルダック麺をさらに激辛にしてチーズスティックと一緒に食べる音【字幕付】Eat sounds of Korean spicy noodle and cheese stick,/watch?v=hjum_G5lyPM,4567,んふふちゃんねる,1610000,1週間前
【咀嚼音/ASMR】夏野菜でぬか漬けを作って食べる音【字幕付】Eat sounds of Japanese pickles,/watch?v=QKpJKk2UB7k,4863,んふふちゃんねる,1610000,1週間前
【咀嚼音/ASMR】チーズたっぷり‼︎フワシュワはんぺんチーズフライを食べる音【字幕付】Eat sounds of fried cheese japanese soft fish cake,/watch?v=U9_e6N4KNS0,5197,んふふちゃんねる,1610000,2週間前
【咀嚼音/ASMR】揚げフレンチトースト?! 揚げパンをアレンジして食べる音【字幕付】Eat sounds of deep fried bread,/watch?v=pdzdGAvGkBo,5266,んふふちゃんねる,1610000,2週間前
【咀嚼音/ASMR】夢の『ステーキセット』を食べる音【字幕付】Eat sounds of steak meal set,/watch?v=ynHfJXqyF1M,9121,んふふちゃんねる,1610000,2週間前
【咀嚼音/ASMR】超激辛!‼︎ 巨大タコとえのきを食べる音【字幕付】Eat sounds of hot !! Octopus and Enoki,/watch?v=2dUSkxaKZB4,4363,んふふちゃんねる,1610000,2週間前
【咀嚼音/ASMR】超超超簡単!‼︎『ザクザクのび〜るチーズボール』を作って食べる音【字幕付】Eat sounds of stretch cheese ball,/watch?v=v7gW2NyUcc8,7972,んふふちゃんねる,1610000,2週間前
【咀嚼音/ASMR】悪魔の夜食『うまかっちゃん濃厚新味』とおにぎりと漬物を食べる音【字幕付】Eat sounds of Instant Ramen and rice ball,/watch?v=g-NApl1ZS1g,4361,んふふちゃんねる,1610000,2週間前
