title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
#24. Jellyfish| 해파리| クラゲ| 海蜇| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=HYSWlN_AhPQ,16727,Drool ASMR,12700,5か月前,76948,22
#23. Corn Dogs| 玉米狗卷| アメリカンドッグ| 옥수수 개| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=NJr-eF57_co,7289,Drool ASMR,12700,5か月前,76948,9
#22. Raw Seafood🌊| 생 해산물| 生のシーフード| 海鮮| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=CXMuFjZ6ons,53713,Drool ASMR,12700,5か月前,76948,70
#21.Spicy Seafood🌊| 매운 해산물| 辣海鮮| スパイシーなシーフード| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=LWB67n72DcE,30752,Drool ASMR,12700,5か月前,76948,40
#20. Raw Abalone| 전복| あわび| 鮑魚| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=mIxcpcxiEI0,23359,Drool ASMR,12700,5か月前,76948,30
#19. Seafood Noodles🍜| 해산물라면| シーフードラーメン| 海鮮拉麵| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=DPvxlYhQ1rk,5679,Drool ASMR,12700,5か月前,76948,7
#18. Scallop| 가리비| ホタテ貝| 扇贝| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=ehotIRiZMHE,63325,Drool ASMR,12700,5か月前,76948,82
#17. Korean Chicken🍗| 한국 치킨| 鶏もも| 韓國雞髀| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=yEeERCAWP8g,4079,Drool ASMR,12700,5か月前,76948,5
#16. Baby Squid| イカ| 오징어| 生烏賊| 🦑| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=8PX2KYFMASg,44817,Drool ASMR,12700,5か月前,76948,58
#15. Burger🍔| 햄버거| ハンバーガー| 漢堡包| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=tpLv2RTwQec,2682,Drool ASMR,12700,5か月前,76948,3
#14. Tuna| ツナ| 참치| 金枪鱼| COMPILATION| ASMR| MUKBANG| EATING SHOW,/watch?v=OiCctS_nQec,84045,Drool ASMR,12700,5か月前,76948,109
