title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【初めてのアコギ#3】勘違い中学生のその後...開始2ヶ月ちょいの経過報告。【ANN & RYO 】,/watch?v=MlONan72OyM,89213,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,94
【ドッキリ】ロシアンルーレットで事件発生❗️大困惑のリョウをモニタリング！【@りおんチャンネル 】【ANN & RYO 】,/watch?v=ls86w_CBjLs,208735,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,221
一緒に休校中の課題やろー！【ANN & RYO】,/watch?v=TwHBQOwbCS8,67799,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,72
雑誌のヘアアレンジやってみた！生意気ストリート系って何？【ANN & RYO 】,/watch?v=_-MeIInprEE,53796,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,57
ELEMER‘S で大量スライム作り！！#家で一緒にやってみよう！【ANN & RYO】,/watch?v=L_EGwZ5VVd8,85955,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,91
【再現】私のお母さんの1日に密着してみたw【ANN & RYO 】,/watch?v=UEVfuD7pGws,98173,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,104
韓国風ダルゴナコーヒー作るよー！#家で一緒にやってみよう！【ANN & RYO】,/watch?v=J3Y1juULGWU,62291,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,66
【あつ森#13】島解放！8人おそろコーデでつり大会！【ANN & RYO 】,/watch?v=MzzqlqARV5A,27027,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,29
JC3春の1週間コーディネート。買い足し無しプチプラ祭り【ANN & RYO 】,/watch?v=rDS9ZMqEbaw,66169,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,70
【あつ森#12】８人制つり大会開催！強盗が来たので追放しました😡【ANN & RYO 】,/watch?v=kmW7QijMkc0,24140,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,26
【あつ森#11】住民厳選！島へ行く〜♪【ANN & RYO 】,/watch?v=MmQJvDt1yAE,21133,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,22
HinataちゃんになってHinataちゃんとTikTok撮った【 @Hinata  】【ANN & RYO 】,/watch?v=GVJaWHTvZwk,115803,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,122
【GRWM】休校中のだらだらモーニングルーティン。顔が大きいのが悩みの女子中学生の朝習慣【ANN & RYO 】,/watch?v=TQFd-IAG1bA,213873,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,226
【あつ森#10】みんな島来てー #うちで過ごそう【ANN & RYO 】,/watch?v=pXHBFwjWpWs,31677,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,33
中３女子愛用♡学校で使ってる一軍文房具【ANN & RYO 】,/watch?v=IzZ4h4D8Iho,139569,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,147
【あつ森#9】まさか...深夜の大乱闘!?【ANN & RYO 】,/watch?v=ZalrWHYCryc,15944,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,17
【あつ森#8】まったり島整備【ANN & RYO 】,/watch?v=pmM1cZbtIok,18088,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,19
【あつ森#７】とたけけライブ開催中！イースターイベント＆島クリエイター開放！【ANN & RYO 】,/watch?v=LeQlrLaQIdQ,20901,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,22
JCアンの毎日ヘアの作り方。前髪カットからセットまで。ヘアケア商品もご紹介！【ANN & RYO 】,/watch?v=HbuTTTD4Ksw,158721,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,168
【あつ森#6】島評価1...ぴえん...3を目指す！お願い黒バラ取らないで！【ANN & RYO 】,/watch?v=Orkj6ABorLo,17688,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,19
【初心者】簡単！パリパリのいちご飴作って食べてみた！【ANN & RYO 】,/watch?v=Z9vcRZIi9ZU,101128,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,107
【あつ森#5】離島にいく！８人でかくれんぼ＆鬼ごっこ【ANN & RYO 】,/watch?v=SM5TqVv5eK0,21346,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,23
たすけてください！！！【ANN & RYO 】,/watch?v=pvj56fFW18Q,87215,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,92
【あつ森#4】かくれんぼ＆ルーレット大会！勝者と記念撮影✨【ANN & RYO】,/watch?v=iyYuw-_x9N8,18444,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,19
【あつ森#3】真夜中のかくれんぼ with ハムカツ【ANN & RYO 】,/watch?v=z78g0ZvNBpo,21236,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,22
【あつ森#2】あんのお部屋紹介＆大富豪への道！【ANN & RYO 】,/watch?v=uwH7V-Oub7E,32431,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,34
【臨時休校】暇すぎる中学生。家の中で何してる？1日ルーティーン【ANN & RYO 】,/watch?v=NdmNUtvajHc,295761,ANN &amp; RYO【ベイビーチャンネル】,38800,,94663,312
