title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ASMR 咀嚼音 | 卫龙辣条+烤午餐肉+火鸡面『浅浅』,/watch?v=1azJ6u_AzsU,20,安沫浅浅浅姬,8,3か月前,12,167
ASMR 咀嚼音 | 荠菜猪肉煎饺+红烧肉『浅浅』,/watch?v=SjhNqQtJf-8,4,安沫浅浅浅姬,8,3か月前,12,33
ASMR 咀嚼音 | 乳酸菌味红豆青团+百香果乳酸菌味青团『浅浅』,/watch?v=ZoiY8wt_whc,1,安沫浅浅浅姬,8,3か月前,12,8
ASMR 咀嚼音 | 荠菜鸡蛋炒饭+海苔『浅浅』,/watch?v=2SYy-j56j4E,4,安沫浅浅浅姬,8,3か月前,12,33
ASMR 咀嚼音 | 虾+玉米『浅浅』,/watch?v=BwOP4CtJqB4,2,安沫浅浅浅姬,8,3か月前,12,17
ASMR 咀嚼音 | 奥尔良烤鸡腿+米肠+炸酱面『浅浅』,/watch?v=mFJmYFDGE8Q,26,安沫浅浅浅姬,8,3か月前,12,217
ASMR 咀嚼音 | 得利斯猪肉酱拌面藕+烤午餐肉『浅浅』,/watch?v=sYt9a5CJqTs,2,安沫浅浅浅姬,8,3か月前,12,17
ASMR 咀嚼音 | 榴莲黄米汤圆『浅浅』,/watch?v=myVWoMTN-gc,2,安沫浅浅浅姬,8,3か月前,12,17
ASMR 咀嚼音 | 荞面碗团+蒜蓉辣肠『浅浅』,/watch?v=tQP2Lp_SCQc,8,安沫浅浅浅姬,8,3か月前,12,67
ASMR 咀嚼音 | 自热烧烤+蟹棒『浅浅』,/watch?v=UMynDJVgtuE,3,安沫浅浅浅姬,8,3か月前,12,25
ASMR 咀嚼音 | 眼肉牛排+黑椒意面『浅浅』,/watch?v=k3qlYRyXALM,1,安沫浅浅浅姬,8,4か月前,12,8
ASMR 咀嚼音 | 巧克力阿华田+奶茶蛋糕杯『浅浅』,/watch?v=n0k9q5u0gJI,5,安沫浅浅浅姬,8,4か月前,12,42
ASMR 咀嚼音 | 辣炒年糕+蒜蓉脆肠『浅浅』,/watch?v=UW7cU5E_0Bk,9,安沫浅浅浅姬,8,4か月前,12,75
ASMR 咀嚼音 | 葱油拌面+煎蛋『浅浅』,/watch?v=QoO_ivK6Lgc,4,安沫浅浅浅姬,8,4か月前,12,33
ASMR 咀嚼音 | 咸蛋黄拌面+烤冷面『浅浅』,/watch?v=U2AbevWfUig,3,安沫浅浅浅姬,8,4か月前,12,25
ASMR 咀嚼音 | 旺旺麻辣小龙虾味大米饼+旺旺煎饼『浅浅』,/watch?v=c16FT-wNqxE,3,安沫浅浅浅姬,8,4か月前,12,25
ASMR 咀嚼音 | 黄桃罐头『浅浅』,/watch?v=YOKHpJitWjk,6,安沫浅浅浅姬,8,4か月前,12,50
ASMR 咀嚼音 | 韭菜鸡蛋煎饺+辣椒油拌白菜丝『浅浅』,/watch?v=O1X6v-qk5Qg,10,安沫浅浅浅姬,8,4か月前,12,83
ASMR 咀嚼音 | 海葡萄+鸭脖『浅浅』,/watch?v=v4pdpCoIrk4,8,安沫浅浅浅姬,8,4か月前,12,67
ASMR 咀嚼音 | 喷射奶油+琥珀珍珠『浅浅』,/watch?v=nCFKjnIItQI,6,安沫浅浅浅姬,8,4か月前,12,50
ASMR 咀嚼音 | 水果软糖+椒麻拌面『浅浅』,/watch?v=Zvcx_ynkFnE,8,安沫浅浅浅姬,8,4か月前,12,67
ASMR 咀嚼音 | 沙瓤西瓜+软籽石榴『浅浅』,/watch?v=T9nJszPz1sc,4,安沫浅浅浅姬,8,4か月前,12,33
ASMR 咀嚼音 | 上校鸡块+鸡米花+薯条+奥尔良烤翅+无骨鸡爪『浅浅』,/watch?v=iQrRt5wGoV0,4,安沫浅浅浅姬,8,4か月前,12,33
ASMR 咀嚼音 | 烤鱿鱼+烤五花肉+培根金针菇+千页豆腐+烤马步鱼+蛋饺+烤火烧『浅浅』,/watch?v=khUYOY2i_WQ,2,安沫浅浅浅姬,8,4か月前,12,17
