title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ASMR Eat Ice| Bead plate Shape Hardice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=qeOywzjsHO4,44208,Eat Ic,17400,,41918,105
ASMR Eat Ice| Big Figure Coconut Crab Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=spcrD1P-bzA,74310,Eat Ic,17400,,41918,177
ASMR Eat Ice| Special Shape Hollow Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=Ztx4kEVzbME,24719,Eat Ic,17400,,41918,59
ASMR Eat Ice| ICE CUBES  Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=4BSDX_FoK3c,33050,Eat Ic,17400,,41918,79
ASMR Eat Ice| Bigger Heart shape Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=lU2gTb5obmk,35417,Eat Ic,17400,,41918,84
ASMR Eat Ice| Slush Snowball | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=wz4UUDn_pyY,34402,Eat Ic,17400,,41918,82
ASMR Eat Ice| Bigger Square Shape Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=Bz3RRDphvCg,95997,Eat Ic,17400,,41918,229
ASMR Eat Ice| 😂Fail Heart Shape 💔Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=-DGdiiqrgMQ,25280,Eat Ic,17400,,41918,60
ASMR Eat Ice| Slush Leaves ice  | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=xDdz9vJLWNo,19050,Eat Ic,17400,,41918,45
ASMR Eat Ice| Sun flower Shape Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=dyRuo2m6cvQ,61006,Eat Ic,17400,,41918,146
ASMR Eat Ice| Sticks Shavedice | 氷を食べる音  Thánh Ăn Đá  얼음 리얼사운 Buz Yemek Satisfying,/watch?v=-ak9CnXQhJQ,59611,Eat Ic,17400,,41918,142
